"","url","number","term","author","textbook","ISBN"
"1","https://www.sfu.ca/outlines.html?2018/spring/wl/104w/c100","WL 104","Spring 2018","Hibbard","The Oxford Shakespeare: Hamlet (2008) ","9.78E+12"
"2","https://www.sfu.ca/outlines.html?2018/spring/wl/104w/c100","WL 104","Spring 2018","Hibbard","The Oxford Shakespeare: Hamlet (2008) ","9.78E+12"
"3","https://www.sfu.ca/outlines.html?2018/spring/wl/104w/c100","WL 104","Spring 2018","Hibbard","The Oxford Shakespeare: Hamlet (2008) ","9.78E+12"
"4","https://www.sfu.ca/outlines.html?2018/spring/arch/100/c100","ARCH 100","Spring 2018","Chazan","World Prehistory  Archaeology: Pathways Through Time (2015) ","9.78E+12"
"5","https://www.sfu.ca/outlines.html?2018/spring/arch/131/c100","ARCH 131","Spring 2018","","Exploring Biological Anthropology: The Essentials. (2nd Custom Ed.)","9.78E+12"
"7","https://www.sfu.ca/outlines.html?2018/spring/arch/301/c100","ARCH 301","Spring 2018","Jonaitis","Art of the Northwest Coast (2006) ","9.78E+12"
"8","https://www.sfu.ca/outlines.html?2018/spring/bisc/113/c100","BISC 113","Spring 2018","Bozzone  Green","Biology for the Informed Citizen with Physiology (2014) ","9.78E+12"
"9","https://www.sfu.ca/outlines.html?2018/spring/bpk/105/c100","BPK 105","Spring 2018","Van Putte et al.","Seeley's Essentials of Anatomy and Physiology (9th Ed.) 2016 ","9.78E+12"
"10","https://www.sfu.ca/outlines.html?2018/spring/bpk/105/c200","BPK 105","Spring 2018","Van Putte et al.","Seeley's Essentials of Anatomy and Physiology (9th Ed.) 2016 ","9.78E+12"
"11","https://www.sfu.ca/outlines.html?2018/spring/bpk/110/c100","BPK 110","Spring 2018","Grosvenor  Bedoya","(PKG w/ Iprofile) Visualizing Nutrition (1st Canadian) ","9.78E+12"
"12","https://www.sfu.ca/outlines.html?2018/spring/bpk/110/c200","BPK 110","Spring 2018","Grosvenor  Bedoya","(PKG w/ Iprofile) Visualizing Nutrition (1st Canadian) ","9.78E+12"
"13","https://www.sfu.ca/outlines.html?2018/spring/bpk/140/c100","BPK 140","Spring 2018","Brown","Current Issues in Health (2nd Ed.) ","9.78E+12"
"14","https://www.sfu.ca/outlines.html?2018/spring/bpk/140/c200","BPK 140","Spring 2018","Brown","Current Issues in Health (2nd Ed.) ","9.78E+12"
"15","https://www.sfu.ca/outlines.html?2018/spring/bpk/141/c100","BPK 141","Spring 2018","Leyland","Exercise Programming Science and Practice 2017 ","9.78E+12"
"16","https://www.sfu.ca/outlines.html?2018/spring/bpk/141/c200","BPK 141","Spring 2018","Leyland","Exercise Programming Science and Practice 2017 ","9.78E+12"
"18","https://www.sfu.ca/outlines.html?2018/spring/bpk/342/c100","BPK 342","Spring 2018","","CSEP-PATH: Physical Activity Training for Health (2015)",""
"19","https://www.sfu.ca/outlines.html?2018/spring/ca/104/c100","CA 104","Spring 2018","Danielson.","Basic Organization of Music (2010 4th ed.) ","9.78E+12"
"23","https://www.sfu.ca/outlines.html?2018/spring/cmns/110/c100","CMNS 110","Spring 2018","McCarron.","Introduction to Communication Studies (2012 3rd ed.) ","9.78E+12"
"24","https://www.sfu.ca/outlines.html?2018/spring/cmns/110/c200","CMNS 110","Spring 2018","McCarron.","Introduction to Communication Studies (2012 3rd ed.) ","9.78E+12"
"26","https://www.sfu.ca/outlines.html?2018/spring/cmns/253w/c100","CMNS 253","Spring 2018","","New Media An Introduction (2014 2nd Canadian ed.)","9.78E+12"
"27","https://www.sfu.ca/outlines.html?2018/spring/cmns/259/c100","CMNS 259","Spring 2018","","The Soundscape - Our Sonic Environment  The Tuning of the World (2004)","9.78E+12"
