"","X","url","number","term","textbook","ISBN","created_at","updated_at"
"1",1,"https://www.sfu.ca/outlines.html?2018/spring/arch/100/c100","ARCH 100","Spring 2018","World Prehistory  Archaeology: Pathways Through Time (2015) Chazan","9780205896707",1451831305.31863,1484387805.58161
"2",2,"https://www.sfu.ca/outlines.html?2018/spring/arch/131/c100","ARCH 131","Spring 2018","Exploring Biological Anthropology: The Essentials. (2nd Custom Ed.)","9781323423776",1452217113.07209,1484472112.35587
"4",4,"https://www.sfu.ca/outlines.html?2018/spring/arch/301/c100","ARCH 301","Spring 2018","Art of the Northwest Coast (2006) Jonaitis&nbsp;","9781553652106",1452944118.05254,1485251466.05579
"5",5,"https://www.sfu.ca/outlines.html?2018/spring/bisc/113/c100","BISC 113","Spring 2018","Biology for the Informed Citizen with Physiology (2014) Bozzone  Green","9780195381993",1453023615.13532,1485946011.97009
"6",6,"https://www.sfu.ca/outlines.html?2018/spring/bpk/105/c100","BPK 105","Spring 2018","Seeley's Essentials of Anatomy and Physiology (9th Ed.) 2016 Van Putte et al.*&nbsp;Students must have access to the textbook companion online learning environment called CONNECT","9781259302046",1453194333.67463,1486261701.08538
"7",7,"https://www.sfu.ca/outlines.html?2018/spring/bpk/105/c200","BPK 105","Spring 2018","Seeley's Essentials of Anatomy and Physiology (9th Ed.) 2016 Van Putte et al.*&nbsp;Students must have access to the textbook companion online learning environment called CONNECT","9781259302046",1453420569.88868,1486303402.03943
"8",8,"https://www.sfu.ca/outlines.html?2018/spring/bpk/110/c100","BPK 110","Spring 2018","(PKG w/ Iprofile) Visualizing Nutrition (1st Canadian) Grosvenor  Bedoya","9781118827949",1453463849.22604,1486463337.50487
"9",9,"https://www.sfu.ca/outlines.html?2018/spring/bpk/110/c200","BPK 110","Spring 2018","(PKG w/ Iprofile) Visualizing Nutrition (1st Canadian) Grosvenor  Bedoya","9781118827949",1453911629.04691,1486764776.5864
"10",10,"https://www.sfu.ca/outlines.html?2018/spring/bpk/140/c100","BPK 140","Spring 2018","Current Issues in Health (2nd Ed.) Brown","9780864913753",1454127605.56384,1486818764.73513
"11",11,"https://www.sfu.ca/outlines.html?2018/spring/bpk/140/c200","BPK 140","Spring 2018","Current Issues in Health (2nd Ed.) Brown","9780864913753",1454739168.88821,1487284414.62704
"12",12,"https://www.sfu.ca/outlines.html?2018/spring/bpk/141/c100","BPK 141","Spring 2018","Exercise Programming Science and Practice 2017 Leyland","9781772870145",1454929580.63834,1487448579.17937
"13",13,"https://www.sfu.ca/outlines.html?2018/spring/bpk/141/c200","BPK 141","Spring 2018","Exercise Programming Science and Practice 2017 Leyland","9781772870145",1455287765.71464,1487952425.501
"16",16,"https://www.sfu.ca/outlines.html?2018/spring/ca/104/c100","CA 104","Spring 2018","Basic Organization of Music (2010 4th ed.) Danielson.","9780973991727",1455483250.16629,1488347269.43357
"20",20,"https://www.sfu.ca/outlines.html?2018/spring/cmns/110/c100","CMNS 110","Spring 2018","Introduction to Communication Studies (2012 3rd ed.) McCarron.","9781256498384",1455630894.67767,1488837643.84055
"21",21,"https://www.sfu.ca/outlines.html?2018/spring/cmns/110/c200","CMNS 110","Spring 2018","Introduction to Communication Studies (2012 3rd ed.) McCarron.","9781256498384",1455815573.38166,1490390624.59694
"23",23,"https://www.sfu.ca/outlines.html?2018/spring/cmns/253w/c100","CMNS 253","Spring 2018","New Media An Introduction (2014 2nd Canadian ed.)&nbsp; Flew  Smith.","9780199005505",1456468815.00098,1492050130.89563
"24",24,"https://www.sfu.ca/outlines.html?2018/spring/cmns/259/c100","CMNS 259","Spring 2018","The Soundscape - Our Sonic Environment  The Tuning of the World &nbsp; (2004)&nbsp; Schafer R. Murray.","9780892814558",1456521868.83995,1492954228.06941
"25",25,"https://www.sfu.ca/outlines.html?2018/spring/cmns/261/c100","CMNS 261","Spring 2018","Communication Research: Strategies  Sources (2010 7th ed.) Rubin et al.","9780495095880",1457297550.84042,1493102310.4903
"28",28,"https://www.sfu.ca/outlines.html?2018/spring/crim/101/c100","CRIM 101","Spring 2018","Understanding Crime in Canada: An Intro to Criminology (2015) Boyd","9781552396322",1457769288.57036,1493318212.48038
"29",29,"https://www.sfu.ca/outlines.html?2018/spring/crim/103/c100","CRIM 103","Spring 2018","Criminal Behaviour: A Psychological Approach (11th Ed. 2017)","9780134163741",1457907791.6105,1493347483.92651
"30",30,"https://www.sfu.ca/outlines.html?2018/spring/crim/104/c100","CRIM 104","Spring 2018","SOCIOLOGICAL EXPLANATIONS OF CRIME AND DEVIANCE&nbsp;CUSTOM PACKAGE (1st with Canvas e-Tutorial Code)) edition","9781323831366",1457988913.84863,1493501956.63964
"31",31,"https://www.sfu.ca/outlines.html?2018/spring/crim/131/c100","CRIM 131","Spring 2018","Canadian Criminal Justice A Primer  Custom Digital Pac (5th Ed.) Griffiths","9780176529208",1458631783.50329,1493889519.90803
"32",32,"https://www.sfu.ca/outlines.html?2018/spring/crim/135/c100","CRIM 135","Spring 2018","Canadian Law An Introduction (2015) Boyd","9780176531690",1458867933.37488,1494015818.97393
"33",33,"https://www.sfu.ca/outlines.html?2018/spring/crim/205/c100","CRIM 205","Spring 2018","The Mythology of Crime  Criminal Justice (5th Ed.) 2018 Kappeler  Potter","9781478602606",1459121884.66471,1494282011.61156
"34",34,"https://www.sfu.ca/outlines.html?2018/spring/crim/210/c100","CRIM 210","Spring 2018","Young Offenders and Youth Justice: A Century After the Fact (2015) Bell","97800176531706",1460280167.56116,1494748132.43976
"35",35,"https://www.sfu.ca/outlines.html?2018/spring/crim/220/c100","CRIM 220","Spring 2018","Research Decisions: Quantitative Qualitative and Mixed-Method Approaches (5th Ed. 2014) Palys  Atchinson","9780176509378",1460513082.65891,1495626039.81977
"36",36,"https://www.sfu.ca/outlines.html?2018/spring/crim/230/c100","CRIM 230","Spring 2018","Criminal Law in Canada Cases Questions  the Code (2014) Verdun-Jones","9780176529529",1460833937.15334,1495677885.33981
"37",37,"https://www.sfu.ca/outlines.html?2018/spring/crim/241/c100","CRIM 241","Spring 2018","Canadian Corrections (2014)&nbsp;Griffiths","9780176529215",1460945819.86211,1496048129.14007
